7676822,2
5083275,2
2189404,1
8462760,2
9441226,8
8167942,2
4715379,5
6463581,4
6750155,6
8594126,4
6994132,9
3774063,8
7717406,4
9278893,1
7709229,2
4235613,5
4576726,8
6689312,5
8818245,5
6989350,8
3373912,5
1142658,7
9418965,6
1970633,6
3524400,9
9300402,9
8675050,3
8342531,6
7064944,7
6792917,4
9243766,1
9160226,3
8347421,5
8586623,7
1001611,5
5425139,3
9733266,5
9464816,9
2174037,1
5321353,4
1000210,4
4216970,8
6696222,2
5067718,3
9180927,1
7535341,8
1889167,6
2245186,9
2545107,9
6402255,2
5407783,1
4922243,5
6395192,4
4293282,7
4822510,8
2267667,4
3236391,5
3497982,8
7044140,7
2693781,6
8426336,9
4649762,9
5924691,5
8552092,7
5726759,4
9016518,1
5781742,3
5275592,2
7325822,8
8746165,2
7183510,1
5971054,9
5498471,8
8352516,2
6034737,1
7767681,4
9275420,2
3776577,5
7312392,2
2669910,3
6283017,1
3173694,2
4625191,7
3241695,1
6018162,1
3099346,3
2001693,8
2621575,6
6539438,9
8042778,2
1020390,5
6035249,9
7227902,8
4495923,4
1140496,6
6579446,6
6852262,8
7488274,1
6202428,9
2428467,2
1717830,4
4422263,2
2598215,6
8219689,8
6017931,6
9711829,6
2072927,5
5334132,8
4558906,8
2841124,4
4995889,8
1122917,1
7173712,7
2325606,3
7341161,3
4596731,8
7281888,8
9778515,8
4062833,7
7017757,9
4260672,6
5119086,5
2476666,9
3634429,6
8283274,5
9734976,3
3896126,9
4127316,1
7469084,5
3445979,4
8206997,7
2869237,5
5061705,2
4368989,8
9645958,1
7205305,3
7116335,2
8240230,8
1777611,1
4628575,9
6350214,4
2340050,9
4221444,5
9316179,1
9920291,2
5500775,8
8804870,7
3616174,3
9017766,6
1991115,8
7371911,8
2570355,4
9520813,9
3081248,1
1685245,6
9359311,7
1073374,1
6281799,4
6166729,5
4985348,6
7360138,9
4214309,6
6856136,6
9031584,5
3815647,1
4537627,1
8219121,6
4675805,7
5918567,6
8038359,6
3466876,7
3639272,3
8097032,8
6835070,4
4519051,1
9350783,1
1306542,3
7044198,7
9395576,6
3036582,3
6098482,6
3398782,4
2682192,7
2057537,7
3831641,9
4204573,6
6493567,6
8838769,4
5764918,5
7854362,9
6494257,7
1163159,6
9770239,7
3963479,9
3283140,6
2377040,8
2574271,4
2699226,4
1850410,3
1857223,4
